SERVIDOR	DISCO	FECHA	HORA	GB
S_TS	C$	2014-10-06	08:10:00	38,5
BU-CONCENTRADOR	C$	2014-10-07	08:10:00	190,99
VWEB	C$	2014-10-07	08:10:00	20,08
TOSHIBA	D$	2014-10-07	08:10:00	125,7
TOSHIBA	C$	2014-10-07	08:10:00	54,67
S_BI	E$	2014-10-07	08:10:00	76,32
S_BI	C$	2014-10-07	08:10:00	54,29
S_BBDD	C$	2014-10-07	08:10:00	9,85
S_BBDD	E$	2014-10-07	08:10:00	258,15
S_BBDD	D$	2014-10-07	08:10:00	1,36
S_2008	E$	2014-10-07	08:10:00	26,86
S_2008	C$	2014-10-07	08:10:00	10,49
S_SHADOW	E$	2014-10-07	08:10:00	12,97
S_SHADOW	C$	2014-10-07	08:10:00	2,33
INTRANET	C$	2014-10-07	08:10:00	2,02
S_TS	C$	2014-10-07	08:10:00	38,3
BU-CONCENTRADOR	C$	2014-10-08	08:10:00	190,99
VWEB	C$	2014-10-08	08:10:00	20,08
TOSHIBA	D$	2014-10-08	08:10:00	125,7
TOSHIBA	C$	2014-10-08	08:10:00	54,32
S_BI	E$	2014-10-08	08:10:00	76,32
S_BI	C$	2014-10-08	08:10:00	54,28
S_BBDD	C$	2014-10-08	08:10:00	9,85
S_BBDD	E$	2014-10-08	08:10:00	256,79
S_BBDD	D$	2014-10-08	08:10:00	1,36
S_2008	E$	2014-10-08	08:10:00	26,86
S_2008	C$	2014-10-08	08:10:00	10,48
S_SHADOW	E$	2014-10-08	08:10:00	12,97
S_SHADOW	C$	2014-10-08	08:10:00	2,32
INTRANET	C$	2014-10-08	08:10:00	2
S_TS	C$	2014-10-08	08:10:00	38,21
BU-CONCENTRADOR	C$	2014-10-09	08:10:00	190,76
VWEB	C$	2014-10-09	08:10:00	20,08
TOSHIBA	D$	2014-10-09	08:10:00	125,7
TOSHIBA	C$	2014-10-09	08:10:00	53,9
S_BI	E$	2014-10-09	08:10:00	76,32
S_BI	C$	2014-10-09	08:10:00	54,35
S_BBDD	C$	2014-10-09	08:10:00	10,07
S_BBDD	E$	2014-10-09	08:10:00	257,35
S_BBDD	D$	2014-10-09	08:10:00	1,36
S_2008	E$	2014-10-09	08:10:00	26,86
S_2008	C$	2014-10-09	08:10:00	10,45
S_SHADOW	E$	2014-10-09	08:10:00	12,96
S_SHADOW	C$	2014-10-09	08:10:00	2,32
